iter	Passed	Remaining
344	8212	15591
345	8264	15620
346	8278	15579
347	8293	15538
348	8302	15486
349	8333	15476
350	8344	15429
351	8353	15378
352	8379	15357
353	8392	15315
354	8401	15264
355	8411	15216
356	8441	15204
357	8450	15154
358	8461	15108
359	8499	15110
360	8513	15069
361	8525	15025
362	8535	14978
363	8548	14936
364	8558	14889
365	8568	14842
366	8576	14793
367	8583	14742
368	8591	14691
369	8598	14640
370	8608	14595
371	8617	14547
372	8626	14500
373	8634	14452
374	8642	14403
375	8651	14357
376	8660	14311
377	8670	14267
378	8679	14221
379	8688	14176
380	8697	14130
381	8706	14084
382	8717	14042
383	8726	13999
384	8736	13956
385	8744	13910
386	8752	13864
387	8761	13819
388	8770	13775
389	8779	13731
390	8786	13685
391	8795	13641
392	8802	13596
393	8812	13554
394	8820	13509
395	8829	13466
396	8837	13422
397	8844	13378
398	8851	13332
399	8859	13288
400	8866	13243
401	8873	13199
402	8880	13155
403	8887	13111
404	8896	13070
405	8903	13026
